step,wall_time,episode_return,ma_return,qos_prob,qos_lambda,sum_rate_mean,rate_common_mean,qos_violation_l1_mean,qos_violation_l2_mean,h_eff_abs_mean_mean,h_eff_abs_R_mean,h_eff_abs_T_mean,phase_entropy_R_mean,phase_entropy_T_mean,phase_var_R_mean,phase_var_T_mean,beta_r_mean_mean,common_power_frac_mean,total_power_W_mean,reward_sr_mean,reward_qos_mean,reward_pwr_mean,qos_satisfied_mean,reward_mean,act_mean,act_std,act_abs_max,act_sat_frac,policy_loss,value_loss,entropy,kl,clipfrac,early_stopped,eval_return_mean,eval_return_std,eval_sum_rate_mean,eval_sum_rate_std,eval_qos_prob,eval_qos_prob_std,eval_rate_common_mean,eval_h_eff_abs_T_mean,eval_phase_entropy_T_mean,eval_common_power_frac_mean,eval_latency_ms_mean,eval_latency_ms_std
0,0.072,2.2291969708181907,2.2291969708181907,0.18,1.03,2.179510922110461,0.3351871272214522,0.17165842056746247,0.027623923880784718,3.020723241625121e-05,3.82541779946505e-05,6.0663956810533215e-06,2.482666762104507,2.5389683373192256,3.630340464356925,3.299538529610774,0.5007224696874618,0.20422471057623626,1.0000000072270632,0.016346331915828457,-0.002762392388078473,-1.1138617992401125e-10,0.18,0.04458393941636381,,,,,,,,,,,,,,,,,,,,,,
0,0.077,,,,,,,,,,,,,,,,,,,,,,,,0.007095492444932461,0.468868613243103,0.9233761668205261,0.0,,,,,,,,,,,,,,,,,,
1,0.162,2.373418323118885,2.301307646968538,0.18,1.0609,2.287883689511512,0.4275216357404721,0.17329224885190078,0.02855107877815552,3.7661637150480173e-05,4.732394518431767e-05,8.674713048967699e-06,2.505604275203989,2.463464305233924,2.810192502065658,2.4554866339681714,0.4970754486322403,0.2414860436692834,0.9999999978393316,0.01715912767133634,-0.002940761114150019,-9.480863809585571e-11,0.18,0.04746836646237768,,,,,,,,,,,,,,,,,,,,,,
1,0.167,,,,,,,,,,,,,,,,,,,,,,,,-0.014678942784667016,0.49332132935523987,0.9240699529647827,0.005714285714285715,,,,,,,,,,,,,,,,,,
2,0.253,2.3505877703905815,2.3177343547758857,0.16,1.092727,2.1850581886888105,0.3782372390617851,0.17452294436145596,0.02946725320767057,2.8200291662390922e-05,3.521287671923124e-05,7.162536491869947e-06,2.456302571108211,2.502791100235713,2.4320898762025855,2.8265402751197173,0.5053638315200806,0.21615192636847497,1.0000000054761768,0.016387936415166074,-0.0031261808928017714,-1.1455267667770388e-10,0.16,0.047011755407811634,,,,,,,,,,,,,,,,,,,,,,
2,0.257,,,,,,,,,,,,,,,,,,,,,,,,0.0027539752423763274,0.48206084966659546,0.9001534700393676,0.001904761904761905,,,,,,,,,,,,,,,,,,
3,0.319,2.359628010494529,2.3282077687055467,0.16,1.1255088100000001,2.2206754929362846,0.3603514632988507,0.16346005451808068,0.027111125804739532,2.6467140087708983e-05,3.1825231596139464e-05,1.0392865562417528e-05,2.4876197306791563,2.511601552938999,2.7193918480656,3.2309270380591295,0.5070008260011672,0.20483887189999223,0.9999999960698187,0.016655066197022138,-0.002962505916723561,-7.04079866409302e-11,0.16,0.0471925602098906,,,,,,,,,,,,,,,,,,,,,,
3,0.325,,,,,,,,,,,,,,,,,,,,,,,,0.04476261492818594,0.4665893197059631,0.9084919214248657,0.0,,,,,,,,,,,,,,,,,,
4,0.386,2.2152457176066505,2.3056153584857677,0.1,1.1592740743,2.1397263263446833,0.30246489670512966,0.19419564982793344,0.03325636328911672,3.015968902519092e-05,3.744852874473554e-05,8.293169866557062e-06,2.488718231806098,2.529329844149795,3.8843308983076326,3.398008480909553,0.4982696771621704,0.18362481839954853,1.0000000081211329,0.01604794744758512,-0.003743032987046145,-1.084059476852417e-10,0.1,0.04430491435213304,,,,,,,,,,,,,,,,,,,,,,
4,0.389,,,,,,,,,,,,,,,,,,,,,,,,0.011690684780478477,0.4737406551837921,0.9174529552459717,0.001904761904761905,,,,,,,,,,,,,,,,,,
5,0.451,2.131472439650615,2.276591538679909,0.06,1.1940522965290001,2.2366105727047043,0.3191628060651011,0.20443920253172823,0.033599737170477435,2.7343323049660535e-05,3.364483080874828e-05,8.438799772397273e-06,2.490448345193973,2.5079055547160856,2.6107455387879948,3.6265383448681674,0.4974911653995514,0.18534950133413075,0.999999998100102,0.016774579295285287,-0.003895130420502853,-8.177012205123903e-11,0.06,0.04262944879301231,,,,,,,,,,,,,,,,,,,,,,
5,0.454,,,,,,,,,,,,,,,,,,,,,,,,0.006478979624807835,0.4727217197418213,0.9356679439544677,0.00380952380952381,,,,,,,,,,,,,,,,,,
6,0.517,2.1311651473510587,2.2558163399186446,0.1,1.2298738654248702,2.1777321172387425,0.3280420005049264,0.2015360847152708,0.03316176247562225,3.8535818006311467e-05,4.890462420400966e-05,7.429399413216888e-06,2.495350731464298,2.4704592833257073,3.885096353674046,3.017958220570514,0.5081505119800568,0.19337052889168263,0.9999999985471368,0.016332990879290573,-0.003959687864096596,-6.817281246185303e-11,0.1,0.042623302947021165,,,,,,,,,,,,,,,,,,,,,,
6,0.521,,,,,,,,,,,,,,,,,,,,,,,,-0.02327661421149969,0.4596786439418793,0.9233363270759583,0.005714285714285715,,,,,,,,,,,,,,,,,,
7,0.584,2.2060065844381853,2.249590120483587,0.1,1.2667700813876164,2.152438914337376,0.30373814778790714,0.18629730226285587,0.03067924430558243,2.9547638657085913e-05,3.680801426623315e-05,7.766511829644192e-06,2.525682928986025,2.51241203851353,2.8318455996576115,2.918826164396053,0.49603994727134704,0.1844382192566991,1.0000000009685754,0.01614329185753032,-0.0037731600782420598,-9.052455425262453e-11,0.1,0.044120131688763706,,,,,,,,,,,,,,,,,,,,,,
7,0.588,,,,,,,,,,,,,,,,,,,,,,,,-0.01870131939649582,0.4691447734832764,0.9248372793197632,0.001904761904761905,,,,,,,,,,,,,,,,,,
8,0.65,2.2146380961010586,2.245706562218862,0.06,1.304773183829245,2.2281622966126027,0.3912724498126499,0.17427026322924027,0.026985601130973633,2.291049788692207e-05,2.8119531746635408e-05,7.283396307782047e-06,2.522060462102454,2.527454190446981,3.4980651211777674,3.061925972818248,0.48796104431152343,0.22386138375848533,0.9999999969825148,0.01671121722459452,-0.003418455214097722,-8.847564458847049e-11,0.06,0.044292761922021154,,,,,,,,,,,,,,,,,,,,,,
8,0.656,,,,,,,,,,,,,,,,,,,,,,,,-0.003546909801661968,0.4596149563789368,0.9235513925552368,0.001904761904761905,,,,,,,,,,,,,,,,,,
9,0.717,2.3713534609124167,2.258271252088217,0.18,1.3439163793441222,2.2295064592555165,0.3921373882904266,0.15129096865450134,0.023331481635617796,3.986424003931867e-05,5.049397688290375e-05,7.975029508563444e-06,2.5060762295088903,2.498524575107031,3.2177619364046537,2.656472147618592,0.49586905002593995,0.2250941501930356,0.9999999951757491,0.016721298444416378,-0.0030442291577158585,-6.845220923423768e-11,0.18,0.04742706921824831,,,,,,,,,,,,,,,,,,,,,,
9,0.721,,,,,,,,,,,,,,,,,,,,,,,,-0.0008864520117640495,0.48947447538375854,0.9181897163391113,0.0,,,,,,,,,,,,,,,,,,
10,0.823,2.3187060676146447,2.2637653262269835,0.2,1.384233870724446,2.27764235874432,0.4003131428040042,0.1726007274294939,0.027592462633433606,4.291998388598195e-05,5.4226042041855056e-05,9.001809418362631e-06,2.5009432704045085,2.5100281039447907,3.644878728532863,3.371162652752539,0.49398612141609194,0.22191028233617544,1.0000000021979212,0.017082317690582403,-0.0037081962479512077,-9.033828973770144e-11,0.2,0.0463741213522929,,,,,,,,,,,,,,,,,,,,,,
10,0.828,,,,,,,,,,,,,,,,,,,,,,,,0.015885251015424727,0.48066986799240113,0.9383142948150635,0.009523809523809525,0.06022692285478115,0.09881631145253778,96.50531578063965,0.07881498336791992,0.41015625,1.0,,,,,,,,,,,,
11,0.908,2.3566074741436958,2.2715021718867097,0.14,1.4257608868461793,2.2083435374905154,0.3824932850849993,0.15734834165016878,0.0247821342480975,2.339331008970801e-05,2.821043902114813e-05,8.941923295387656e-06,2.52511658437386,2.5111507912345257,3.236322571293074,3.1558888568721644,0.49705385088920595,0.22075416389852762,1.0000000040605663,0.01656257653117887,-0.0034304269615056866,-8.679926395416262e-11,0.14,0.04713214948287391,,,,,,,,,,,,,,,,,,,,,,
11,0.913,,,,,,,,,,,,,,,,,,,,,,,,0.027878998313099146,0.48296175003051756,0.9263197541236877,0.001904761904761905,,,,,,,,,,,,,,,,,,
12,0.972,2.3934106876799692,2.2808797500246527,0.24,1.4685337134515648,2.1809429257314785,0.3631444505000465,0.15634005290288674,0.026223598404740634,3.110172637224304e-05,3.900267767057196e-05,7.3988724772563185e-06,2.523182533292299,2.489870809915975,3.1926219181395554,3.6033559660651893,0.5018248653411865,0.21068164128810168,1.000000007338822,0.01635707194298609,-0.003738858091784106,-9.760260581970217e-11,0.24,0.047868213753599384,,,,,,,,,,,,,,,,,,,,,,
12,0.979,,,,,,,,,,,,,,,,,,,,,,,,0.0004877847619354725,0.4601633310317993,0.9089393377304077,0.0,,,,,,,,,,,,,,,,,,
13,1.045,2.2516608187384595,2.2787926835042103,0.18,1.512589724855112,2.2660483903072928,0.40908339974839864,0.1775000290024876,0.028682667997503738,2.1421036578349897e-05,2.55676045981489e-05,8.981332518952896e-06,2.5037915782745723,2.4612315875909103,3.386125182468139,2.4508519303487653,0.49689127326011656,0.2213718405365944,0.999999996572733,0.016995362927304695,-0.004212146494607253,-5.792826414108277e-11,0.18,0.04503321637476919,,,,,,,,,,,,,,,,,,,,,,
13,1.049,,,,,,,,,,,,,,,,,,,,,,,,0.00223753247410059,0.48269150853157045,0.9032725334167481,0.00380952380952381,,,,,,,,,,,,,,,,,,
14,1.109,2.3273057978558898,2.2820268911276558,0.1,1.5579674166007653,2.2137830206319484,0.4041914428473018,0.16443603922183225,0.026823245835106688,2.9895953201432398e-05,3.713994681202433e-05,8.163972369656585e-06,2.526187266557189,2.5228461173677412,3.405963327754412,3.3504085428589314,0.4983925729990005,0.23098952308297158,1.0000000028684735,0.01660337265473961,-0.004057256603744505,-9.387731552124025e-11,0.1,0.04654611595711779,,,,,,,,,,,,,,,,,,,,,,
14,1.114,,,,,,,,,,,,,,,,,,,,,,,,-0.03260372160002589,0.47877283692359923,0.9131561160087586,0.005714285714285715,,,,,,,,,,,,,,,,,,
