step,wall_time,episode_return,ma_return,qos_prob,qos_lambda,noise_sigma,sum_rate_mean,rate_common_mean,qos_violation_l1_mean,qos_violation_l2_mean,h_eff_abs_mean_mean,h_eff_abs_R_mean,h_eff_abs_T_mean,phase_entropy_R_mean,phase_entropy_T_mean,phase_var_R_mean,phase_var_T_mean,beta_r_mean_mean,common_power_frac_mean,total_power_W_mean,reward_sr_mean,reward_qos_mean,reward_pwr_mean,qos_satisfied_mean,reward_mean,act_mean,act_std,act_abs_max,act_sat_frac,eval_return_mean,eval_return_std,eval_sum_rate_mean,eval_sum_rate_std,eval_qos_prob,eval_qos_prob_std,eval_rate_common_mean,eval_h_eff_abs_T_mean,eval_phase_entropy_T_mean,eval_common_power_frac_mean,eval_latency_ms_mean,eval_latency_ms_std,critic_loss_0,critic_gradnorm_0,critic_loss_1,critic_gradnorm_1,critic_loss_2,critic_gradnorm_2,actor_loss_0,actor_gradnorm_0,actor_loss_1,actor_gradnorm_1,actor_loss_2,actor_gradnorm_2
0,0.052,2.0198551861020833,2.0198551861020833,0.12,1.03,0.39970833333333333,2.1634685984653736,0.2983049111839772,0.24956235239375296,0.048289106614885904,2.2598421509521534e-05,2.864509507482827e-05,4.458400813601312e-06,2.5003576095381446,2.5057479391726973,3.8056350202300337,3.951817109858981,0.49655766487121583,0.1884248936828226,1.0000000113155694,0.0162260144884903,-0.004828910661488591,-1.0496005415916444e-10,0.12,0.04039710372204166,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.057,,,,,,,,,,,,,,,,,,,,,,,,,-0.0019775211811065676,0.5808963298797607,0.9923666715621948,0.036190476190476197,,,,,,,,,,,,,,,,,,,,,,,,
1,0.136,2.1125368685656545,2.066196027333869,0.06,1.0609,0.3994166666666667,2.293147763948757,0.31231502547677575,0.239312868236816,0.043183211343980225,4.7471383561627785e-05,6.0939067988758395e-05,7.068330280235984e-06,2.4897598347994743,2.507314451309778,2.639288054462726,3.3783106477261127,0.4918204635381699,0.1853447648137808,1.0000000011734664,0.017198608229615678,-0.004447870768429964,-8.987262845039369e-11,0.06,0.04225073737131309,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.139,,,,,,,,,,,,,,,,,,,,,,,,,0.015243116277270019,0.6005918145179748,0.9968430161476135,0.05714285714285714,,,,,,,,,,,,,,,,,,,,,,,,
2,0.195,2.133304977363154,2.0885656773436305,0.08,1.092727,0.399125,2.2042516523735274,0.3106009020247442,0.23208519317822593,0.041151736714383144,2.7146270716744402e-05,3.395438362322868e-05,6.721931997291579e-06,2.494780276073631,2.4980871425320252,3.7485982922453034,2.9724275788331624,0.5042939352989196,0.18370275946334005,1.0000000009685754,0.016531887392801453,-0.004365787748028909,-9.75094735622406e-11,0.08,0.042666099547263074,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,0.04701189659535885,0.5545978784561157,0.9915036082267761,0.04380952380952381,,,,,,,,,,,,,,,,,,,,,,,,
3,0.251,2.0485495010932864,2.0785616332810446,0.02,1.1255088100000001,0.3988333333333334,2.359675224027283,0.37713954148438106,0.2578369633481102,0.0478305565364587,2.634307550659401e-05,3.3220559621241874e-05,5.7106231626503984e-06,2.4829018228181137,2.5066464459007154,3.1000885264049627,3.365262214130135,0.5060195070505142,0.22356600342318417,1.0000000050105156,0.017697564180204624,-0.005226574055241492,-1.0309740900993349e-10,0.02,0.04097099002186573,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.257,,,,,,,,,,,,,,,,,,,,,,,,,0.005996330990456045,0.5858545780181885,0.9832069635391235,0.0419047619047619,,,,,,,,,,,,,,,,,,,,,,,,
4,0.299,2.0124403889176516,2.065337384408366,0.04,1.1592740743,0.3985416666666667,2.29592298156243,0.3342492769085993,0.25961978084663195,0.05082691872043739,4.520492682048746e-05,5.801989320884743e-05,6.760027655407528e-06,2.4944526067653263,2.501398902017577,3.2246374140311214,3.0008647814212344,0.4941752028465271,0.19932572500780224,1.0000000038836152,0.017219422361718223,-0.005720614480500622,-1.0286457836627962e-10,0.04,0.040248807778353025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.306,,,,,,,,,,,,,,,,,,,,,,,,,0.012183544598519802,0.5797783613204956,0.9936427354812623,0.07619047619047618,,,,,,,,,,,,,,,,,,,,,,,,
