step,wall_time,episode_return,ma_return,qos_prob,qos_lambda,sum_rate_mean,rate_common_mean,qos_violation_l1_mean,qos_violation_l2_mean,h_eff_abs_mean_mean,h_eff_abs_R_mean,h_eff_abs_T_mean,phase_entropy_R_mean,phase_entropy_T_mean,phase_var_R_mean,phase_var_T_mean,beta_r_mean_mean,common_power_frac_mean,total_power_W_mean,reward_sr_mean,reward_qos_mean,reward_pwr_mean,qos_satisfied_mean,reward_mean,act_mean,act_std,act_abs_max,act_sat_frac,policy_loss,value_loss,entropy,kl,clipfrac,early_stopped,eval_return_mean,eval_return_std,eval_sum_rate_mean,eval_sum_rate_std,eval_qos_prob,eval_qos_prob_std,eval_rate_common_mean,eval_h_eff_abs_T_mean,eval_phase_entropy_T_mean,eval_common_power_frac_mean,eval_latency_ms_mean,eval_latency_ms_std
8,0.622,,,,,,,,,,,,,,,,,,,,,,,,-0.011247118189930915,0.4676202595233917,0.9382170677185059,0.005714285714285715,,,,,,,,,,,,,,,,,,
9,0.683,2.1350064917022067,2.2211406335980537,0.12,1.3439163793441222,2.1393464681663796,0.3035829903321758,0.20277837796994125,0.03330056631548948,2.8929478912370404e-05,3.6915731600898266e-05,4.970720846786814e-06,2.5013431876872527,2.494924250556284,3.157643567033125,2.6984628103605224,0.5059842574596405,0.18729118771851064,1.000000002924353,0.016045098511247843,-0.004344968593477812,-8.372589945793154e-11,0.12,0.042700129834044136,,,,,,,,,,,,,,,,,,,,,,
9,0.688,,,,,,,,,,,,,,,,,,,,,,,,0.02342423315276392,0.4909444868564606,0.9431315779685974,0.005714285714285715,,,,,,,,,,,,,,,,,,
10,0.79,2.3408990908951886,2.2320277660796113,0.18,1.384233870724446,2.203866489375386,0.36656168531463107,0.165224839462817,0.027613450090334953,5.167210064153683e-05,6.619695209943902e-05,8.097546267830279e-06,2.535295975746321,2.5179352234800048,3.3267874497742445,3.4600639486818716,0.49912641286849974,0.21218846172094344,0.9999999951757491,0.016528998670315397,-0.003711016786660257,-6.575137376785279e-11,0.18,0.04681798181790376,,,,,,,,,,,,,,,,,,,,,,
10,0.795,,,,,,,,,,,,,,,,,,,,,,,,0.0037566726095974445,0.4446690022945404,0.9035313129425049,0.0,0.1258043460547924,0.08567658090032637,96.49595832824707,0.055231645703315735,0.38671875,1.0,,,,,,,,,,,,
11,0.865,1.9606895684618606,2.2094162496114653,0.08,1.4257608868461793,2.1936992852409984,0.2728722949572897,0.2307893519788683,0.039653365963949326,2.9163081068489956e-05,3.68942742111965e-05,5.969501640370335e-06,2.507989087990022,2.5120816097137033,3.0219317968344863,2.859179234199047,0.48863485515117644,0.17275180209428073,0.9999999918229878,0.016452744639307487,-0.005488953225553059,-4.4517219066619875e-11,0.08,0.03921379136923721,,,,,,,,,,,,,,,,,,,,,,
11,0.869,,,,,,,,,,,,,,,,,,,,,,,,-0.007895780866965652,0.48653700947761536,0.9489388465881348,0.005714285714285715,,,,,,,,,,,,,,,,,,
12,0.933,2.23596959117191,2.211458814346884,0.12,1.4685337134515648,2.1050848852799726,0.3317687418330395,0.16396717710183897,0.025030457471921244,2.4934355924291696e-05,3.1063419266619256e-05,6.5471658973090154e-06,2.5340296244878773,2.4917452748875513,3.107377767068275,2.906899008530351,0.5016320806741714,0.19689260229468344,1.0000000036507846,0.015788136639599798,-0.0035687447243332006,-9.182840585708621e-11,0.12,0.04471939182343819,,,,,,,,,,,,,,,,,,,,,,
12,0.936,,,,,,,,,,,,,,,,,,,,,,,,0.02566352877765894,0.44943026304244993,0.9406704425811767,0.00380952380952381,,,,,,,,,,,,,,,,,,
13,0.999,2.1936729632006524,2.2101883964078675,0.12,1.512589724855112,2.224098743114918,0.36361717293280366,0.18929759396054344,0.031032867582649722,2.8979395172597683e-05,3.6656138592310537e-05,5.949164913459108e-06,2.480876184389353,2.4670326285474546,2.7346127506246587,3.54783832635963,0.4954918199777603,0.21534110337495804,1.0000000026822091,0.016680740573361885,-0.004557281227019929,-8.232891559600832e-11,0.12,0.04387345926401304,,,,,,,,,,,,,,,,,,,,,,
13,1.005,,,,,,,,,,,,,,,,,,,,,,,,-0.012651732191443443,0.4690012693405151,0.9291395306587219,0.001904761904761905,,,,,,,,,,,,,,,,,,
14,1.073,2.067596249543996,2.2006822532836092,0.12,1.5579674166007653,2.2268941950037298,0.3045955170180414,0.2120493058272174,0.03702115176858468,3.542684096399283e-05,4.516937850986454e-05,6.199228326377685e-06,2.5182244326916496,2.52434549043782,3.048356974880763,3.034334868873231,0.5014844226837158,0.18590163934975862,1.000000002849847,0.016701706462527974,-0.005599781376746283,-9.490177035331728e-11,0.12,0.04135192499087991,,,,,,,,,,,,,,,,,,,,,,
14,1.077,,,,,,,,,,,,,,,,,,,,,,,,-0.022839552722871304,0.47775627970695494,0.9297968626022339,0.005714285714285715,,,,,,,,,,,,,,,,,,
15,1.15,2.2660689894309374,2.204768924292818,0.1,1.6047064390987884,2.11834103774829,0.31978085648583066,0.16541715647775207,0.027703903488341192,3.0746048162697124e-05,3.862189494241608e-05,7.118507823540259e-06,2.5064604682462517,2.5076648124636938,3.591273194781922,3.331365385398078,0.5050319617986679,0.19453707838431,1.000000002514571,0.015887557783112176,-0.0043161778947487855,-9.974464774131778e-11,0.1,0.04532137978861875,,,,,,,,,,,,,,,,,,,,,,
15,1.155,,,,,,,,,,,,,,,,,,,,,,,,0.011373262107372283,0.4937091410160065,0.9225892424583435,0.001904761904761905,,,,,,,,,,,,,,,,,,
16,1.228,2.2454572037095626,2.207162352493803,0.12,1.652847632271752,2.169661034634663,0.3444916427283141,0.16143436272914077,0.02563281044062795,2.240139847569511e-05,2.7579506252214054e-05,6.867075146138274e-06,2.5201818148372737,2.5051571462803337,2.988735619347298,3.7840601593175256,0.49089473009109497,0.20501829616725445,0.9999999985657633,0.016272457759759974,-0.004113313596627433,-8.89413058757782e-11,0.12,0.04490914407419124,,,,,,,,,,,,,,,,,,,,,,
16,1.233,,,,,,,,,,,,,,,,,,,,,,,,0.02703438336029649,0.4762136161327362,0.9349433779716492,0.001904761904761905,,,,,,,,,,,,,,,,,,
17,1.301,2.105099582202923,2.2014921985887543,0.1,1.7024330612399046,2.1407622123457157,0.26223638991635223,0.18583590965495667,0.0299708500345445,4.9803168618718066e-05,6.425864373958076e-05,6.436743256130026e-06,2.5426310025434806,2.503337135392741,3.345783588949294,3.11865559933595,0.4998188263177872,0.1649028305336833,1.0000000064074994,0.016055716592592868,-0.004953724851676863,-9.685754776000979e-11,0.1,0.042101991644058465,,,,,,,,,,,,,,,,,,,,,,
17,1.305,,,,,,,,,,,,,,,,,,,,,,,,-0.0023728528060019015,0.48173515796661376,0.9209335923194886,0.0,,,,,,,,,,,,,,,,,,
18,1.375,2.120427918086645,2.197225657509696,0.1,1.7535060530771018,2.1757691915301725,0.2975251940747848,0.20151729183648348,0.03471332070456498,3.085341071132864e-05,3.8930357017308086e-05,6.622571793390274e-06,2.4824029277868935,2.51445373751672,3.467708419521673,3.137234110351352,0.49562335431575777,0.1797121600061655,1.0000000020489097,0.016318268936476296,-0.0059097104832875145,-9.145587682724e-11,0.1,0.042408558361732906,,,,,,,,,,,,,,,,,,,,,,
18,1.379,,,,,,,,,,,,,,,,,,,,,,,,0.002889250370208174,0.46758772134780885,0.9005420565605163,0.00380952380952381,,,,,,,,,,,,,,,,,,
19,1.453,2.2101307973280853,2.1978709145006152,0.12,1.806111234669415,2.238574913299407,0.3439937405515976,0.16377521397952693,0.024731570247058302,4.4719669174584177e-05,5.7166484933594705e-05,7.379221897552647e-06,2.5280138372008607,2.4816161553054714,3.4364209866701465,3.0470375800757963,0.5015672039985657,0.20914760001003743,0.9999999983981251,0.016789311849745556,-0.004336695813031829,-9.015202522277833e-11,0.12,0.044202615946561705,,,,,,,,,,,,,,,,,,,,,,
19,1.457,,,,,,,,,,,,,,,,,,,,,,,,0.02074589319527149,0.4781716883182526,0.9355007886886597,0.00380952380952381,,,,,,,,,,,,,,,,,,
20,1.601,2.166924613371329,2.1824223101338363,0.1,1.8602945717094976,2.140547142641507,0.33927533936449633,0.15199564975885616,0.021956627950372773,3.8353441199853246e-05,4.919406946822528e-05,5.831556394737191e-06,2.5046186255397784,2.4964659373121183,3.7457129780592617,3.6024148387930124,0.48941888272762296,0.205263315923512,0.9999999944865704,0.0160541035698113,-0.003965611241662475,-6.072223186492921e-11,0.1,0.043338492267426594,,,,,,,,,,,,,,,,,,,,,,
20,1.604,,,,,,,,,,,,,,,,,,,,,,,,0.02607805710285902,0.4749498307704926,0.921077299118042,0.001904761904761905,-0.04563224921002984,0.08044599840650335,96.50509548187256,0.07447937875986099,0.4365234375,1.0,,,,,,,,,,,,
21,1.667,2.1482455930648325,2.1845453980838587,0.16,1.9161034088607827,2.2100015104026682,0.34679572284898696,0.1738790110577086,0.02746930224204954,3.547582258332624e-05,4.499008943585008e-05,6.933022025754707e-06,2.498042618867534,2.4954959661932903,3.0106855926241125,3.4776748773139,0.512797725200653,0.20706344701349735,0.9999999963119626,0.01657501132802001,-0.005110099384953231,-8.177012205123903e-11,0.16,0.04296491186129666,,,,,,,,,,,,,,,,,,,,,,
21,1.672,,,,,,,,,,,,,,,,,,,,,,,,0.015995936188846826,0.4818921029567719,0.9462427139282227,0.00761904761904762,,,,,,,,,,,,,,,,,,
22,1.735,2.1001706410153966,2.183202216662538,0.08,1.9735865111266062,2.117424654869159,0.2892824671833972,0.17055572603952296,0.025454116956293547,2.2593375653803723e-05,2.8441058117307168e-05,5.050328263293399e-06,2.4792403463250965,2.4576415754887027,2.89782515090697,3.9762641250046697,0.49945973098278046,0.18380285680294037,0.999999993853271,0.01588068491151869,-0.004877272026949511,-6.426125764846802e-11,0.08,0.04200341282030792,,,,,,,,,,,,,,,,,,,,,,
22,1.739,,,,,,,,,,,,,,,,,,,,,,,,0.0037520604208111765,0.4736863374710083,0.9271820664405823,0.00380952380952381,,,,,,,,,,,,,,,,,,
23,1.803,2.204118539741143,2.182516349091243,0.16,2.0327941064604045,2.241776561487127,0.40752885960147134,0.17185208105164895,0.027771538320195334,2.9576916647946088e-05,3.71398054043383e-05,6.8882503787694786e-06,2.505809473144014,2.5220171986843023,3.03984192042009,3.201207841466697,0.5033896660804749,0.2343283874541521,0.9999999954551458,0.01681332421115345,-0.005480953342197317,-7.413327693939212e-11,0.16,0.04408237079482286,,,,,,,,,,,,,,,,,,,,,,
23,1.807,,,,,,,,,,,,,,,,,,,,,,,,-0.01881095856660977,0.4780967116355896,0.9394582390785218,0.001904761904761905,,,,,,,,,,,,,,,,,,
24,1.869,1.940156626468244,2.1683960537260836,0.06,2.0937779296542165,2.1932070972728703,0.2981859748949323,0.21154145140352676,0.03392335994307911,1.9086399367410717e-05,2.3423584744361512e-05,6.074843236558327e-06,2.376293386986907,2.4766135310403303,1.9266906175097085,2.464310327816579,0.5045561665296554,0.18024246715009212,1.000000000409782,0.01644905322954653,-0.006895920616362616,-8.381903171539309e-11,0.06,0.03880313252936488,,,,,,,,,,,,,,,,,,,,,,
24,1.875,,,,,,,,,,,,,,,,,,,,,,,,-0.009275332605466247,0.4642395615577698,0.9546674489974976,0.005714285714285715,,,,,,,,,,,,,,,,,,
