step,wall_time,episode_return,ma_return,qos_prob,qos_lambda,sum_rate_mean,rate_common_mean,qos_violation_l1_mean,qos_violation_l2_mean,h_eff_abs_mean_mean,h_eff_abs_R_mean,h_eff_abs_T_mean,phase_entropy_R_mean,phase_entropy_T_mean,phase_var_R_mean,phase_var_T_mean,beta_r_mean_mean,common_power_frac_mean,total_power_W_mean,reward_sr_mean,reward_qos_mean,reward_pwr_mean,qos_satisfied_mean,reward_mean,act_mean,act_std,act_abs_max,act_sat_frac,eval_return_mean,eval_return_std,eval_sum_rate_mean,eval_sum_rate_std,eval_qos_prob,eval_qos_prob_std,eval_rate_common_mean,eval_h_eff_abs_T_mean,eval_phase_entropy_T_mean,eval_common_power_frac_mean,eval_latency_ms_mean,eval_latency_ms_std,critic_loss,critic_gradnorm,actor_loss,actor_gradnorm
0,0.037,2.0198551861020833,2.0198551861020833,0.12,1.03,2.1634685984653736,0.2983049111839772,0.24956235239375296,0.048289106614885904,2.2598421509521534e-05,2.864509507482827e-05,4.458400813601312e-06,2.5003576095381446,2.5057479391726973,3.8056350202300337,3.951817109858981,0.49655766487121583,0.1884248936828226,1.0000000113155694,0.0162260144884903,-0.004828910661488591,-1.0496005415916444e-10,0.12,0.04039710372204166,,,,,,,,,,,,,,,,,,,,
0,0.043,,,,,,,,,,,,,,,,,,,,,,,,-0.0019775211811065676,0.5808963298797607,0.9923666715621948,0.036190476190476197,,,,,,,,,,,,,,,,
1,0.11,2.1125368685656545,2.066196027333869,0.06,1.0609,2.293147763948757,0.31231502547677575,0.239312868236816,0.043183211343980225,4.7471383561627785e-05,6.0939067988758395e-05,7.068330280235984e-06,2.4897598347994743,2.507314451309778,2.639288054462726,3.3783106477261127,0.4918204635381699,0.1853447648137808,1.0000000011734664,0.017198608229615678,-0.004447870768429964,-8.987262845039369e-11,0.06,0.04225073737131309,,,,,,,,,,,,,,,,,,,,
1,0.112,,,,,,,,,,,,,,,,,,,,,,,,0.015243116277270019,0.6005918145179748,0.9968430161476135,0.05714285714285714,,,,,,,,,,,,,,,,
2,0.162,2.133304977363154,2.0885656773436305,0.08,1.092727,2.2042516523735274,0.3106009020247442,0.23208519317822593,0.041151736714383144,2.7146270716744402e-05,3.395438362322868e-05,6.721931997291579e-06,2.494780276073631,2.4980871425320252,3.7485982922453034,2.9724275788331624,0.5042939352989196,0.18370275946334005,1.0000000009685754,0.016531887392801453,-0.004365787748028909,-9.75094735622406e-11,0.08,0.042666099547263074,,,,,,,,,,,,,,,,,,,,
2,0.168,,,,,,,,,,,,,,,,,,,,,,,,0.04701189659535885,0.5545978784561157,0.9915036082267761,0.04380952380952381,,,,,,,,,,,,,,,,
3,0.209,2.0485495010932864,2.0785616332810446,0.02,1.1255088100000001,2.359675224027283,0.37713954148438106,0.2578369633481102,0.0478305565364587,2.634307550659401e-05,3.3220559621241874e-05,5.7106231626503984e-06,2.4829018228181137,2.5066464459007154,3.1000885264049627,3.365262214130135,0.5060195070505142,0.22356600342318417,1.0000000050105156,0.017697564180204624,-0.005226574055241492,-1.0309740900993349e-10,0.02,0.04097099002186573,,,,,,,,,,,,,,,,,,,,
3,0.212,,,,,,,,,,,,,,,,,,,,,,,,0.005996330990456045,0.5858545780181885,0.9832069635391235,0.0419047619047619,,,,,,,,,,,,,,,,
4,0.246,2.0124403889176516,2.065337384408366,0.04,1.1592740743,2.29592298156243,0.3342492769085993,0.25961978084663195,0.05082691872043739,4.520492682048746e-05,5.801989320884743e-05,6.760027655407528e-06,2.4944526067653263,2.501398902017577,3.2246374140311214,3.0008647814212344,0.4941752028465271,0.19932572500780224,1.0000000038836152,0.017219422361718223,-0.005720614480500622,-1.0286457836627962e-10,0.04,0.040248807778353025,,,,,,,,,,,,,,,,,,,,
4,0.252,,,,,,,,,,,,,,,,,,,,,,,,0.012183544598519802,0.5797783613204956,0.9936427354812623,0.07619047619047618,,,,,,,,,,,,,,,,
5,0.291,2.1135837165367755,2.073378439763101,0.06,1.1940522965290001,2.2984438722109197,0.36409959072177167,0.235374871549725,0.04284279899751941,2.7250190286076814e-05,3.421337673726803e-05,6.360630932503169e-06,2.521238551791245,2.5002669004082385,3.1364943966704977,3.2350003016907056,0.4993342912197113,0.2142927030287683,1.0000000073947013,0.017238329041581898,-0.004966654614827029,-9.601935744285586e-11,0.06,0.04227167433073551,,,,,,,,,,,,,,,,,,,,
5,0.297,,,,,,,,,,,,,,,,,,,,,,,,-0.021753904153592886,0.5680862307548523,0.9884808182716369,0.047619047619047616,,,,,,,,,,,,,,,,
6,0.334,2.108755770630192,2.0784323441726853,0.12,1.2298738654248702,2.28815487872401,0.38277165300262994,0.22636904471101968,0.041757351013702856,3.311711200473493e-05,4.240401912332131e-05,5.256390648975764e-06,2.5171063047965663,2.4979609850583895,3.414344379936366,2.8690335126208413,0.49998494863510135,0.22024749033153057,0.9999999964609743,0.017161161590430078,-0.0049860460874879475,-9.033828973770143e-11,0.12,0.04217511541260383,,,,,,,,,,,,,,,,,,,,
6,0.341,,,,,,,,,,,,,,,,,,,,,,,,0.008118466753512622,0.5734328866004944,0.9892290353775024,0.039999999999999994,,,,,,,,,,,,,,,,
