Algorithm,Return,Return_CI,SumRate,SumRate_CI,QoS_prob,QoS_CI,RateCommon,|h_eff_T|,PhaseEntropy_T,P_c/Pmax,Latency_ms,trained_lambda_mean,N_train_seeds
MADDPG,1.7859483806439944,0.7130620828072333,2.775592436094059,0.0965176085198537,0.5252,0.14221354045452755,1.237895231184849,2.1746392598272447e-06,2.505783943315634,0.8159429322902362,0.5341082000084377,14.296500000087528,5
DDPG,2.178059304491482,0.7350341425463078,1.7608393863841472,0.023977065193099757,0.5572000000000001,0.14663442919832367,0.22359686355445615,2.7717371826549217e-06,2.494125769631411,0.18745656410172581,0.20172235199599528,14.205415759538932,5
TD3,1.2957493486230744,0.6082208013372872,2.709538877546678,0.2631487745458405,0.3729333333333333,0.10062685807202328,1.0104275478530078,2.6033701266898298e-06,2.5043254864481286,0.6249401063935458,0.20107609867079496,15.0,5
PPO,3.32264042734536,0.027903442125706668,2.196092144834614,0.07903571729112241,0.9985866666666666,0.0035648279017459583,0.5640013694607126,6.930800836359872e-06,2.4999474790656517,0.3309027674953142,0.4358189253219947,15.0,5
