Cell,SumRate_mean,SumRate_CI95,QoS_mean,QoS_CI95,RateCommon,|h_eff_T|,PhaseEntropy_T,P_c/Pmax
Learned,2.773110972355697,0.2030985919404478,0.6518666666666666,0.06049557303560867,1.3139465864065016,2.1470459037168822e-06,2.5061979992663006,0.8589085048516593
BCD,5.147698386958878,0.11122671072424051,1.0,0.0,3.7114736222296356,8.636707925640448e-06,2.5028522316249475,0.95
MaxMinAlignedRIS,4.269715686610777,0.08216212735244,0.6108,0.08013493517378469,2.376851370179255,7.053418133418875e-06,2.5028522316249475,0.7961161272446315
FixedRIS,2.3159212847199457,0.07868858666278745,0.41893333333333327,0.0825210585749951,0.8766291050074425,1.5093462867109949e-06,0.0,0.8580384142796198
RandomRIS,2.351726756980022,0.0844587129568985,0.43200000000000005,0.05383499948381372,0.9051987160960966,1.573790250665117e-06,2.5039719582794446,0.8567430862545968
NoRIS,1.9920072867619005,0.1132319701953918,0.26626666666666665,0.07841368793707722,0.5779400654057236,1.0767338533729699e-06,0.0,0.8632709311187268
EqualPower+Learned,1.6917243392440078,0.03513463829053111,0.556,0.12122784901608484,0.20768559315280424,2.1639867023650096e-06,2.503832296984777,0.2
EqualPower+Fixed,1.5475581054255758,0.022647065787282872,0.2733333333333333,0.11850048588742391,0.1453675652852539,1.5093462867109949e-06,0.0,0.2
