Pmax_dBm,MADDPG_sr_mean,DDPG_sr_mean,TD3_sr_mean,PPO_sr_mean,FixedRIS_sr_mean,MADDPG_sr_ci,DDPG_sr_ci,TD3_sr_ci,PPO_sr_ci,FixedRIS_sr_ci
10,0.606515691269108,0.9924803626344483,0.9223618223731924,1.1196994918410414,0.5590327559909731,0.09531624452188842,0.06257296604220923,0.09151919994564416,0.03695225167814993,0.1034916323669686
15,0.9680722988578271,1.1904863622153732,1.2991715483292345,1.4627621921488452,0.8905039180680733,0.07996506122199463,0.04322396189281004,0.05832671999860892,0.03430791862374452,0.09698719954696171
20,1.3968049264119233,1.3683636790620084,1.712412414103131,1.7888873433448211,1.260303175849804,0.071057850508883,0.03294685190077495,0.034434575400185914,0.04002922341759793,0.0656151697181383
25,1.9662142437937824,1.567548745094344,2.219601956695679,2.016382937645429,1.7004641247709855,0.1187661750005967,0.02724572279708664,0.11436784540032209,0.027205849172558486,0.06343615089636245
30,2.7637023070381805,1.7589686514398704,2.792987019866871,2.1257643156733463,2.280601121953363,0.19074768324479047,0.019801194837265366,0.19807645969590768,0.015147487060451156,0.10107486070122376
35,3.6561706298231575,1.8850524463917573,3.2812707944345574,2.1669038027367526,3.019985968080669,0.20735555430658517,0.01526295973121705,0.254485962822681,0.010722559954421222,0.14871905049646825
