Comparison,delta_mean_return,p_value,significant_5pct,N_seeds_per_algo
MADDPG vs DDPG,-0.3921109238474876,0.3188800165764033,False,5
MADDPG vs TD3,0.49019903202091997,0.1854961844547675,False,5
MADDPG vs PPO,-1.5366920467013654,0.003897254864061583,True,5
