Algorithm,Return_l0,Return_l0_CI,SumRate_l0,SumRate_l0_CI,QoS_l0,QoS_l0_CI
MADDPG,3.0698983087946132,0.16841864700856762,2.7785665536965958,0.1041191504869648,0.5273866666666667,0.14315428121680998
DDPG,2.84565344100439,0.1265370089419749,1.760938818087454,0.023898356358128443,0.5572800000000001,0.14664604192958464
TD3,2.879785781509189,0.2397073066288293,2.7016170939505204,0.26914090985966554,0.37274666666666667,0.10040398655275792
PPO,3.3226509990427666,0.02792415711400697,2.1960921423268887,0.07903571163354131,0.9985866666666666,0.0035648279017459583
