episode_return,sum_rate,qos_satisfied,qos_lambda,h_eff_abs_T,phase_entropy_T,rate_common,common_power_frac,ma_return
2.212072556639058,2.086616081449865,0.12,1.03,4.486584097751935e-06,2.505135337580015,0.31691785622933966,0.20433199170976876,2.212072556639058
2.175000703778209,2.212404773674145,0.12,1.0609,4.245274504067791e-06,2.500856433054262,0.3479785641671784,0.2217503932118416,2.1935366302086337
2.2099619665940797,2.1390276086888007,0.14,1.092727,3.4708063444947558e-06,2.505077011716371,0.3526845886280013,0.23286513768136502,2.1990117423371154
2.1247016865166635,2.050374779671457,0.08,1.1255088100000001,3.597874270754649e-06,2.51398572650658,0.29103470449940266,0.19706740852445365,2.1804342283820026
2.0199967494055433,2.0867926158180334,0.04,1.1592740743,3.515483439914782e-06,2.4568043881866943,0.26709282672500784,0.18799244912341237,2.1483467325867105
2.1338669352174104,2.1500753686065583,0.08,1.1940522965290001,4.723290484051607e-06,2.5088767145661506,0.3181977059502069,0.19977411303669215,2.1459334330251605
2.3406534273133475,2.176869131539165,0.14,1.2298738654248702,4.912071893019131e-06,2.4887016035283187,0.3926213615728786,0.2322671103104949,2.17375057506633
2.2140713033144284,2.1300240898920357,0.16,1.2667700813876164,4.906067867315988e-06,2.489207363901563,0.3404301053038699,0.21143982373178005,2.1787906660973424
2.229052117344096,2.1831963727357255,0.1,1.304773183829245,4.81224084454161e-06,2.516561458370776,0.30820123174135644,0.19910691721364857,2.184375271791426
2.0240513012733796,2.0585571911619063,0.06,1.3439163793441222,5.081857026202605e-06,2.5294587561869553,0.22799290896856436,0.14931280840188266,2.168342874739621
2.305060196841421,2.122732394869543,0.18,1.384233870724446,4.539501720080056e-06,2.5039782000754855,0.34936338125889427,0.22664992839097978,2.180771722203421
2.2577471688803605,2.1107448839425396,0.18,1.4257608868461793,5.397166287979488e-06,2.5388718085483277,0.3171335080026107,0.19607738967984914,2.187186342759833
2.1866209932920353,2.097072017590428,0.12,1.4685337134515648,4.772894409072436e-06,2.5045602947481367,0.30161135835792385,0.1917794154584408,2.187142854339233
2.1402516652967982,2.1619253689705507,0.1,1.512589724855112,4.745637570556932e-06,2.503605457589904,0.31125675322672497,0.19859513252973557,2.183793483693345
1.9396082030333774,2.0899387502583497,0.02,1.5579674166007653,3.351277921587604e-06,2.4860312143114576,0.27649766257961184,0.19041545882821084,2.1675144649826805
