step,wall_time,episode_return,ma_return,qos_prob,qos_lambda,sum_rate_mean,rate_common_mean,qos_violation_l1_mean,qos_violation_l2_mean,h_eff_abs_mean_mean,h_eff_abs_R_mean,h_eff_abs_T_mean,phase_entropy_R_mean,phase_entropy_T_mean,phase_var_R_mean,phase_var_T_mean,beta_r_mean_mean,common_power_frac_mean,total_power_W_mean,reward_sr_mean,reward_qos_mean,reward_pwr_mean,qos_satisfied_mean,reward_mean,act_mean,act_std,act_abs_max,act_sat_frac,policy_loss,value_loss,entropy,kl,clipfrac,early_stopped,eval_return_mean,eval_return_std,eval_sum_rate_mean,eval_sum_rate_std,eval_qos_prob,eval_qos_prob_std,eval_rate_common_mean,eval_h_eff_abs_T_mean,eval_phase_entropy_T_mean,eval_common_power_frac_mean,eval_latency_ms_mean,eval_latency_ms_std
0,0.083,2.212072556639058,2.212072556639058,0.12,1.03,2.086616081449865,0.31691785622933966,0.17780347641177233,0.02908169414390358,3.4100377208112905e-05,4.397164157823323e-05,4.486584097751935e-06,2.5084559817840266,2.505135337580015,3.7335387612463298,3.669155024656847,0.5038572299480438,0.20433199170976876,0.9999999876320362,0.015649620610873986,-0.002908169414390358,-6.370246410369873e-11,0.12,0.04424145113278116,,,,,,,,,,,,,,,,,,,,,,
0,0.092,,,,,,,,,,,,,,,,,,,,,,,,-0.01153661081334576,0.4644947052001953,0.9453458189964294,0.00380952380952381,,,,,,,,,,,,,,,,,,
1,0.162,2.175000703778209,2.1935366302086337,0.12,1.0609,2.212404773674145,0.3479785641671784,0.21542314365529772,0.037310889956549735,3.025825198538908e-05,3.8929244479162845e-05,4.245274504067791e-06,2.4978698988274353,2.500856433054262,2.917556262440476,3.687065675087954,0.501645228266716,0.2217503932118416,0.9999999889731407,0.01659303580255609,-0.003843021665524623,-6.146728992462158e-11,0.12,0.04350001407556418,,,,,,,,,,,,,,,,,,,,,,
1,0.167,,,,,,,,,,,,,,,,,,,,,,,,0.001799023151397705,0.4635862946510315,0.8999050736427308,0.0,,,,,,,,,,,,,,,,,,
2,0.23,2.2099619665940797,2.1990117423371154,0.14,1.092727,2.1390276086888007,0.3526845886280013,0.1915415111741453,0.031515389201040835,4.5685665822150934e-05,5.975728564803632e-05,3.4708063444947558e-06,2.4885258618792943,2.505077011716371,3.957771235818204,3.3940991153904605,0.4926855754852295,0.23286513768136502,1.0000000032410026,0.016042707065166004,-0.003343467640338422,-9.294599294662476e-11,0.14,0.04419923933188159,,,,,,,,,,,,,,,,,,,,,,
2,0.231,,,,,,,,,,,,,,,,,,,,,,,,0.02698917416855693,0.47407029271125795,0.9140635967254639,0.0,,,,,,,,,,,,,,,,,,
3,0.307,2.1247016865166635,2.1804342283820026,0.08,1.1255088100000001,2.050374779671457,0.29103470449940266,0.1873110133641639,0.02867849905680147,4.254057414935163e-05,5.5521474108883947e-05,3.597874270754649e-06,2.4903830109580998,2.51398572650658,3.0852943089224643,3.702651886625124,0.5051068866252899,0.19706740852445365,0.9999999962747097,0.015377810847535922,-0.003133777023884151,-9.331852197647096e-11,0.08,0.04249403373033326,,,,,,,,,,,,,,,,,,,,,,
3,0.31,,,,,,,,,,,,,,,,,,,,,,,,0.011305582895874976,0.48267855644226076,0.9466297626495361,0.00380952380952381,,,,,,,,,,,,,,,,,,
4,0.385,2.0199967494055433,2.1483467325867105,0.04,1.1592740743,2.0867926158180334,0.26709282672500784,0.21965500123999832,0.035548451523945465,2.691684772552556e-05,3.4717302487395815e-05,3.515483439914782e-06,2.5066607016440163,2.4568043881866943,3.17464478960456,3.881690902585467,0.49473212838172914,0.18799244912341237,1.0000000004656613,0.015650944618635254,-0.004001009537205855,-9.331852197647097e-11,0.04,0.040399934988110876,,,,,,,,,,,,,,,,,,,,,,
4,0.389,,,,,,,,,,,,,,,,,,,,,,,,-0.010635540261864663,0.48481724858284,0.9338093400001526,0.00380952380952381,,,,,,,,,,,,,,,,,,
