step,wall_time,episode_return,ma_return,qos_prob,qos_lambda,sum_rate_mean,rate_common_mean,qos_violation_l1_mean,qos_violation_l2_mean,h_eff_abs_mean_mean,h_eff_abs_R_mean,h_eff_abs_T_mean,phase_entropy_R_mean,phase_entropy_T_mean,phase_var_R_mean,phase_var_T_mean,beta_r_mean_mean,common_power_frac_mean,total_power_W_mean,reward_sr_mean,reward_qos_mean,reward_pwr_mean,qos_satisfied_mean,reward_mean,act_mean,act_std,act_abs_max,act_sat_frac,eval_return_mean,eval_return_std,eval_sum_rate_mean,eval_sum_rate_std,eval_qos_prob,eval_qos_prob_std,eval_rate_common_mean,eval_h_eff_abs_T_mean,eval_phase_entropy_T_mean,eval_common_power_frac_mean,eval_latency_ms_mean,eval_latency_ms_std,critic_loss,critic_gradnorm,actor_loss,actor_gradnorm
0,0.037,1.987331242028084,1.987331242028084,0.08,1.03,2.298265522020976,0.374363290367491,0.2596238420417791,0.04740366461160545,3.365974725433051e-05,4.353711893522999e-05,4.0276322116320605e-06,2.493713203552558,2.5047895407487486,3.7040697125315494,3.583801229901307,0.4977340817451477,0.23335994863882661,1.0000000092200936,0.017236991415157322,-0.004740366461160545,-1.134350895881653e-10,0.08,0.03974662484056169,,,,,,,,,,,,,,,,,,,,
0,0.043,,,,,,,,,,,,,,,,,,,,,,,,0.016893296595662834,0.5512479186058045,0.9918299436569213,0.05904761904761905,,,,,,,,,,,,,,,,
1,0.101,1.8291505990713157,1.9082409205496997,0.04,1.0609,2.0280085203604896,0.1981553812647712,0.2877849662695441,0.057058755676352935,2.9827131960619167e-05,3.857242205747611e-05,3.591261670048337e-06,2.4899186327287777,2.5273401502530124,2.927888120924334,3.6024877208482184,0.5009438794851303,0.13328983986750245,1.0000000054202973,0.015210063902703677,-0.005877051834664352,-8.661299943923951e-11,0.04,0.03658301198142632,,,,,,,,,,,,,,,,,,,,
1,0.103,,,,,,,,,,,,,,,,,,,,,,,,0.012611260265111923,0.589621651172638,0.9929669737815857,0.047619047619047616,,,,,,,,,,,,,,,,
2,0.136,1.9634053961255493,1.926629079074983,0.06,1.092727,2.0740993361287603,0.25553547964558004,0.24552586589937989,0.045128070472068745,4.532988349700555e-05,5.9427696957823525e-05,3.0364431145515935e-06,2.497199205441953,2.48623202034057,3.850784968834588,3.252967384217361,0.511946570277214,0.18220130048692226,1.000000008214265,0.015555745020965706,-0.004787636996381772,-1.0207295417785647e-10,0.06,0.03926810792251098,,,,,,,,,,,,,,,,,,,,
2,0.143,,,,,,,,,,,,,,,,,,,,,,,,-0.0003302164375782013,0.5541839361190796,0.9902549386024475,0.04,,,,,,,,,,,,,,,,
3,0.178,2.055618893116516,1.958876532585366,0.06,1.1255088100000001,2.0139294545873176,0.28228203458999085,0.21481075289219154,0.03882115981762394,4.224021945830454e-05,5.5270870614492795e-05,3.148265989739742e-06,2.4925548773167914,2.5266413323379715,3.0930832939979234,3.7507529703436036,0.5033877563476562,0.1947733661904931,0.9999999980069697,0.015104470909404883,-0.004242092950403276,-9.66712832450867e-11,0.06,0.041112377862330324,,,,,,,,,,,,,,,,,,,,
3,0.183,,,,,,,,,,,,,,,,,,,,,,,,-0.023123681917786597,0.5843478202819824,0.9883342027664185,0.05333333333333333,,,,,,,,,,,,,,,,
4,0.223,1.946045092189155,1.956310244506124,0.04,1.1592740743,2.0098293960720675,0.25338415379742074,0.2195001613073997,0.03911847258494926,2.6578771450683847e-05,3.444775018982086e-05,2.9718352332728046e-06,2.50914228219979,2.516019371436507,3.118734885103176,3.809397239666638,0.4983995521068573,0.18163726344704628,0.9999999941699207,0.015073720470540503,-0.004402818552810387,-7.3947012424469e-11,0.04,0.03892090184378311,,,,,,,,,,,,,,,,,,,,
4,0.223,,,,,,,,,,,,,,,,,,,,,,,,-0.013822410255670547,0.5618299007415771,0.995666217803955,0.060952380952380945,,,,,,,,,,,,,,,,
5,0.26,2.0708958058052476,1.9754078380559779,0.06,1.1940522965290001,2.1711229937868866,0.30243944218257557,0.22654130185647334,0.04197028426370895,2.500781214381417e-05,3.193612149946292e-05,4.222884076867914e-06,2.5095809750211355,2.498604737717554,3.1508746750468744,2.9362564512739233,0.4917424303293228,0.19907488944008947,1.0000000040978194,0.016283422453401652,-0.004865506243791904,-9.350478649139405e-11,0.06,0.04141791611610496,,,,,,,,,,,,,,,,,,,,
5,0.265,,,,,,,,,,,,,,,,,,,,,,,,0.029498549923300744,0.5777949571609498,0.9824387788772583,0.0419047619047619,,,,,,,,,,,,,,,,
6,0.303,2.1170158352784805,1.9956375519449066,0.06,1.2298738654248702,2.345866786102588,0.42591992863648626,0.22098482948548928,0.037717645218968754,4.4635169939319055e-05,5.80503547940212e-05,4.389615375212642e-06,2.5191704517185274,2.506870081877645,3.7485325599366606,3.2267039590867808,0.5035661053657532,0.2577850438281894,1.0000000038556756,0.017594000895769412,-0.00450368408933757,-1.0086223483085634e-10,0.06,0.04234031670556961,,,,,,,,,,,,,,,,,,,,
6,0.306,,,,,,,,,,,,,,,,,,,,,,,,-0.007238375442102552,0.5684363961219787,0.9832940816879272,0.051428571428571435,,,,,,,,,,,,,,,,
7,0.348,2.00487815453291,1.9967926272684071,0.06,1.2667700813876164,2.2167840946026636,0.3356997324209188,0.25428227470937226,0.04698300947509698,3.659051067647875e-05,4.735434386370349e-05,4.299011114804521e-06,2.507880800849941,2.478139462807682,2.878857910998828,2.712886308522858,0.5020267939567566,0.2050294309668243,0.9999999875202775,0.016625880709519977,-0.005778317547243084,-7.161870598793031e-11,0.06,0.040097563090658185,,,,,,,,,,,,,,,,,,,,
7,0.353,,,,,,,,,,,,,,,,,,,,,,,,-0.008448554342612625,0.5708540678024292,0.9930808424949646,0.0419047619047619,,,,,,,,,,,,,,,,
8,0.383,1.9870811653068499,1.9957135759393454,0.04,1.304773183829245,2.2827871176893297,0.3994521104362554,0.2366446394813133,0.04246453302340655,5.544166499771713e-05,7.253020428962786e-05,4.176047121985003e-06,2.5111701790038263,2.4978296289716497,3.1873618272377535,3.4721030468985417,0.5031345003843307,0.24955956108868121,0.9999999941326678,0.017120903382669975,-0.005379279995414785,-8.111819624900819e-11,0.04,0.039741623306136994,,,,,,,,,,,,,,,,,,,,
8,0.388,,,,,,,,,,,,,,,,,,,,,,,,-0.030364712048321963,0.5646542429924011,0.9937136888504028,0.05142857142857142,,,,,,,,,,,,,,,,
9,0.425,1.9654832647277722,1.992690544818188,0.04,1.3439163793441222,2.1534939031250255,0.28334877899174993,0.2530088817405327,0.0466865734232178,3.5734410498443655e-05,4.614809076646569e-05,4.493369694377516e-06,2.471723829753023,2.5247647239747626,2.780699692640164,3.469755551604944,0.4983757448196411,0.1749317598156631,0.999999996945262,0.01615120427343769,-0.006091538904748971,-7.41332769393921e-11,0.04,0.03930966529455544,,,,,,,,,,,,,,,,,,,,
9,0.428,,,,,,,,,,,,,,,,,,,,,,,,0.02207043319940567,0.590767502784729,0.9851314425468445,0.047619047619047616,,,,,,,,,,,,,,,,
10,0.463,1.9280512089516366,1.9868142415575925,0.04,1.384233870724446,2.156240776597789,0.26358046258030954,0.25966416703754835,0.04733018846859602,3.6031036443535595e-05,4.672634496532279e-05,3.945110878173985e-06,2.514499116279943,2.495149619849239,3.190218192515798,3.0518991474681814,0.49924022316932676,0.17335319347679615,0.9999999958276748,0.01617180582448342,-0.0063607815520390475,-9.34116542339325e-11,0.04,0.03856102417903272,,,,,,,,,,,,,,,,,,,,
10,0.47,,,,,,,,,,,,,,,,,,,,,,,,-0.00031909048557281493,0.5781834363937378,0.9942199349403381,0.05333333333333333,,,,,,,,,,,,,,,,
11,0.503,2.010772059011495,1.9888107263454176,0.08,1.4257608868461793,2.2236652836545696,0.31044998027392157,0.24163639861051947,0.04307110602518399,3.7527105356354644e-05,4.842915363743004e-05,4.820960513128465e-06,2.5168394769165876,2.5068186213560257,3.572813197212649,3.253875119135513,0.4951816624403,0.18556456366553903,0.9999999883957207,0.01667748962740927,-0.005962048380962345,-6.621703505516052e-11,0.08,0.04021544118022989,,,,,,,,,,,,,,,,,,,,
11,0.508,,,,,,,,,,,,,,,,,,,,,,,,0.03130002226680517,0.5860031247138977,0.984595251083374,0.047619047619047616,,,,,,,,,,,,,,,,
12,0.543,1.9680258126154457,1.9872118868277273,0.1,1.4685337134515648,2.258745620043577,0.32474409303304463,0.25637553905665816,0.04965822720147134,4.761565803450147e-05,6.203878578016676e-05,4.346274797505631e-06,2.4929638748482947,2.5044761453743094,2.660908213456665,3.7721956750020462,0.49200031995773313,0.2025193398911506,1.0000000046100468,0.016940592150326828,-0.007080075805397884,-9.262003004550934e-11,0.1,0.03936051625230892,,,,,,,,,,,,,,,,,,,,
12,0.55,,,,,,,,,,,,,,,,,,,,,,,,-0.038385982438921926,0.5817539095878601,0.992135202884674,0.045714285714285714,,,,,,,,,,,,,,,,
13,0.583,1.8152096096414017,1.974926009885847,0.04,1.512589724855112,2.14942971870999,0.24714229473175084,0.2770745671076535,0.05322676988569015,2.9460735930044724e-05,3.787464742785016e-05,4.2190014366284115e-06,2.494829526616514,2.479996372887646,3.939213217949944,3.276246692511974,0.49159025549888613,0.16046623472124338,0.9999999998509884,0.016120722890324922,-0.007816530603526448,-9.39704477787018e-11,0.04,0.03630419219282803,,,,,,,,,,,,,,,,,,,,
13,0.588,,,,,,,,,,,,,,,,,,,,,,,,0.03401296567171812,0.591920280456543,0.9957164049148559,0.06857142857142857,,,,,,,,,,,,,,,,
14,0.623,1.751955594956624,1.9600613155572322,0.08,1.5579674166007653,2.065742256230159,0.2538370883114651,0.2815206821091469,0.052585012378111654,3.416276776473402e-05,4.457964311883849e-05,2.912141702420585e-06,2.4858717287671617,2.476248985658216,2.8862354548384723,2.9068045358607724,0.4832001960277557,0.17617431823164226,0.9999999995715916,0.015493066921726195,-0.007953954940451058,-8.214265108108522e-11,0.08,0.03503911189913249,,,,,,,,,,,,,,,,,,,,
14,0.628,,,,,,,,,,,,,,,,,,,,,,,,0.012750724516808986,0.5757901310920716,0.9788053154945373,0.03428571428571428,,,,,,,,,,,,,,,,
