N,Algorithm,SumRate,SumRate_CI,QoS,QoS_CI,N_seeds
16,MADDPG,2.441249970888649,0.19702226179146629,0.24760000000000001,0.10426172847777523,3
16,TD3,2.6329271804486516,0.17722791788323244,0.28502222222222223,0.2344928296780138,3
32,MADDPG,3.573256157906616,0.40233456635527015,0.41986666666666667,0.12107268754397096,3
32,TD3,3.2261051403441754,0.3876014171955384,0.3896888888888889,0.22109371468748962,3
64,MADDPG,4.588917029672834,0.3428826859164817,0.5910222222222222,0.09591323592452243,3
64,TD3,4.151551081345711,0.7087691298376274,0.5205333333333333,0.12458647185503688,3
96,MADDPG,4.90515147534305,0.3245754825796306,0.753688888888889,0.23166949742219825,3
96,TD3,3.9213500598323634,0.8156723882415046,0.5152888888888888,0.14225090370917182,3
