step,wall_time,episode_return,ma_return,qos_prob,qos_lambda,sum_rate_mean,rate_common_mean,qos_violation_l1_mean,qos_violation_l2_mean,h_eff_abs_mean_mean,h_eff_abs_R_mean,h_eff_abs_T_mean,phase_entropy_R_mean,phase_entropy_T_mean,phase_var_R_mean,phase_var_T_mean,beta_r_mean_mean,common_power_frac_mean,total_power_W_mean,reward_sr_mean,reward_qos_mean,reward_pwr_mean,qos_satisfied_mean,reward_mean,act_mean,act_std,act_abs_max,act_sat_frac,policy_loss,value_loss,entropy,kl,clipfrac,early_stopped,eval_return_mean,eval_return_std,eval_sum_rate_mean,eval_sum_rate_std,eval_qos_prob,eval_qos_prob_std,eval_rate_common_mean,eval_h_eff_abs_T_mean,eval_phase_entropy_T_mean,eval_common_power_frac_mean,eval_latency_ms_mean,eval_latency_ms_std
0,0.063,2.3601552021922196,2.3601552021922196,0.18,1.03,2.1533640470236635,0.35698404329955735,0.16947374401699644,0.02947126255654578,5.1111390211241776e-05,6.63497248111665e-05,5.3963864114675356e-06,2.4905248700956806,2.4347343071918486,2.950964416342385,2.6280736439132952,0.49723053991794586,0.21344333117827774,0.9999999878741801,0.01615023035267748,-0.0029471262556545774,-5.317851901054384e-11,0.18,0.047203104043844396,,,,,,,,,,,,,,,,,,,,,,
0,0.068,,,,,,,,,,,,,,,,,,,,,,,,-0.007239588908851147,0.4963300883769989,0.9399992465972901,0.001904761904761905,,,,,,,,,,,,,,,,,,
1,0.15,2.235136703218189,2.297645952705204,0.08,1.0609,2.070696964147857,0.300690720529612,0.1799909400506591,0.029878573589899187,4.8623589643285124e-05,6.350423952550859e-05,3.98163999661471e-06,2.4723627559721337,2.4899476453316254,2.7621235954652144,3.107197310377105,0.5087312388420105,0.1933636289089918,1.0000000001117586,0.015530227231108926,-0.0030774930797596166,-8.698552846908573e-11,0.08,0.044702734064363786,,,,,,,,,,,,,,,,,,,,,,
1,0.155,,,,,,,,,,,,,,,,,,,,,,,,0.012951389513909816,0.46930859088897703,0.9438582301139832,0.00380952380952381,,,,,,,,,,,,,,,,,,
2,0.25,2.207220532224651,2.267504145878353,0.08,1.092727,2.011183645931786,0.25318065538445195,0.16524376598238846,0.02770729212183496,3.681863812254805e-05,4.766551396681481e-05,4.278010589747789e-06,2.4858536012442007,2.511459693801418,3.3511475331628735,2.8617648108227156,0.507559574842453,0.16793603952974082,1.0000000012665986,0.015083877344488395,-0.0029394666212054703,-7.878988981246949e-11,0.08,0.04414441064449303,,,,,,,,,,,,,,,,,,,,,,
2,0.256,,,,,,,,,,,,,,,,,,,,,,,,-0.02223542770370841,0.4736611843109131,0.9490825176239014,0.00380952380952381,,,,,,,,,,,,,,,,,,
3,0.328,2.125219999064217,2.231933109174819,0.08,1.1255088100000001,2.0535872607402976,0.26970204620760646,0.19818764424819707,0.03337983209804884,2.1301063619760733e-05,2.6981891114570465e-05,4.258581135331551e-06,2.5024244444365245,2.5081739484283507,3.6355139107915373,3.6818061630806413,0.4972319221496582,0.17632955439388753,1.0000000012665986,0.01540190445555223,-0.003647504378900461,-9.536743164062502e-11,0.08,0.042504399981284344,,,,,,,,,,,,,,,,,,,,,,
3,0.331,,,,,,,,,,,,,,,,,,,,,,,,0.023378112283535302,0.48564499616622925,0.9358218550682068,0.001904761904761905,,,,,,,,,,,,,,,,,,
4,0.393,2.193229669425331,2.2241924212249216,0.12,1.1592740743,2.1663417165782617,0.37284871436654676,0.1973567095105548,0.0322784621894612,3.2207831739657526e-05,4.14431683581742e-05,4.501821884107507e-06,2.5077870266425677,2.510618968352256,3.281683926081814,3.171005521195824,0.5062339097261429,0.22405933734029532,1.0000000144913792,0.016247562874336957,-0.003632969356749047,-1.2908130884170532e-10,0.12,0.04386459338850661,,,,,,,,,,,,,,,,,,,,,,
4,0.397,,,,,,,,,,,,,,,,,,,,,,,,-0.002521207556128502,0.48496407866477964,0.9240721940994263,0.00380952380952381,,,,,,,,,,,,,,,,,,
5,0.459,2.2308405591748355,2.225300444216574,0.1,1.1940522965290001,2.102790058283291,0.2771934669723668,0.20195775015589998,0.035833753552524585,3.176341721503559e-05,4.069800575328461e-05,4.959651600288513e-06,2.5331274800510433,2.49683803565125,3.1499663350163196,3.812475965575617,0.4976678872108459,0.17551289878785611,1.000000002104789,0.015770925437124682,-0.004154114147829729,-1.0579824447631837e-10,0.1,0.04461681118349671,,,,,,,,,,,,,,,,,,,,,,
5,0.463,,,,,,,,,,,,,,,,,,,,,,,,-0.01563526368699968,0.4779101610183716,0.9048946380615235,0.0,,,,,,,,,,,,,,,,,,
6,0.528,2.1485358456245613,2.2143340729891436,0.08,1.2298738654248702,2.1934397405888806,0.30761923784971,0.18038692672657866,0.027051420447396973,3.8424944201211896e-05,4.9025424680797695e-05,6.623502762454494e-06,2.5065042762491903,2.4930289034982223,3.0043261375853647,3.516063619594915,0.5012087446451187,0.18941125608980655,0.9999999945238233,0.01645079805441661,-0.0032300810709585902,-7.096678018569947e-11,0.08,0.042970716912491234,,,,,,,,,,,,,,,,,,,,,,
6,0.531,,,,,,,,,,,,,,,,,,,,,,,,-0.007681472785770893,0.4674229025840759,0.9059905409812927,0.001904761904761905,,,,,,,,,,,,,,,,,,
7,0.593,2.196361507111392,2.2120875022544246,0.14,1.2667700813876164,2.153006568893428,0.3520564522692283,0.18376599985259845,0.03024959831141789,3.754190783627856e-05,4.8662065393429945e-05,4.181435164824451e-06,2.513298476358421,2.508505804958257,3.674715958447534,3.2858182353277585,0.4982804495096207,0.2232579392194748,0.9999999981187284,0.016147549266700714,-0.0037203190402813153,-8.419156074523928e-11,0.14,0.04392723014222783,,,,,,,,,,,,,,,,,,,,,,
7,0.594,,,,,,,,,,,,,,,,,,,,,,,,-0.02685636798851192,0.4816447675228119,0.9331751346588135,0.00380952380952381,,,,,,,,,,,,,,,,,,
8,0.657,1.9502759807377905,2.1829973331970205,0.08,1.304773183829245,2.129538127457621,0.28497207438927646,0.2346667311952883,0.03920219099398125,3.304521462977108e-05,4.280498450949866e-05,3.7659049905883435e-06,2.4987802123211766,2.478578466142972,3.9196615832012487,3.034117369503994,0.4904944866895676,0.18901670537889004,1.0000000026077032,0.01597153595593216,-0.004966016267601852,-7.35744833946228e-11,0.08,0.039005519614755825,,,,,,,,,,,,,,,,,,,,,,
8,0.662,,,,,,,,,,,,,,,,,,,,,,,,-0.02344338148832321,0.46289093494415284,0.9064305543899536,0.0,,,,,,,,,,,,,,,,,,
9,0.723,2.148116198518534,2.179509219729172,0.08,1.3439163793441222,2.081830886373032,0.2901332923245609,0.18146197187773894,0.029901040463714727,4.675216221838589e-05,6.0868230709084135e-05,4.403956746291113e-06,2.4874494315700755,2.51668036847334,2.813359283904865,3.59113860241734,0.4989414876699448,0.1863385459035635,1.0000000065751373,0.015613731647797745,-0.003901407576564815,-1.0086223483085633e-10,0.08,0.0429623239703707,,,,,,,,,,,,,,,,,,,,,,
9,0.726,,,,,,,,,,,,,,,,,,,,,,,,-0.004759591072797775,0.47537349462509154,0.9518374085426331,0.005714285714285715,,,,,,,,,,,,,,,,,,
10,0.828,2.0794781579245267,2.1704154868378405,0.1,1.384233870724446,2.1090024799514206,0.2863237998397037,0.1986694077326937,0.031459958402587224,3.1531872749714566e-05,4.023367318199367e-05,5.426471452877266e-06,2.4999730602868393,2.4908146954072152,2.7797360952579986,2.67369909750504,0.5003763657808303,0.18017290994524957,1.0000000025331974,0.01581751859963566,-0.004227955339072173,-1.0207295417785645e-10,0.1,0.041589563158490536,,,,,,,,,,,,,,,,,,,,,,
10,0.833,,,,,,,,,,,,,,,,,,,,,,,,0.012638974469155073,0.4586281478404999,0.9136683702468872,0.001904761904761905,0.0427864002995193,0.07491246983408928,96.48912334442139,0.09399648755788803,0.4296875,1.0,,,,,,,,,,,,
11,0.915,2.2342401833585015,2.1757342115478955,0.12,1.4257608868461793,2.2099647690646735,0.3445950844099634,0.17251541888301344,0.026295643465614766,6.062337763974565e-05,7.913891704712643e-05,5.076759417603267e-06,2.4802925904715205,2.506971981673384,3.5737776193189497,3.501809119016684,0.4938312685489655,0.21234087266027926,0.9999999964609743,0.016574735767985047,-0.003639932033759791,-6.705522537231446e-11,0.12,0.04468480366717005,,,,,,,,,,,,,,,,,,,,,,
11,0.923,,,,,,,,,,,,,,,,,,,,,,,,0.014459489658474923,0.4721987247467041,0.916186511516571,0.0,,,,,,,,,,,,,,,,,,
12,0.993,2.0619361532140656,2.1669805147529857,0.14,1.4685337134515648,2.1405508577097017,0.2633215680050458,0.2192415820683522,0.03903465408505243,5.274868389332875e-05,6.88359703305761e-05,4.486824581586691e-06,2.5311661777292205,2.5261146134351415,3.3726971844308706,3.368994250138783,0.4826408839225769,0.17227050848305225,0.9999999970570207,0.016054131432822763,-0.00556540830260382,-6.593763828277589e-11,0.14,0.041238723064281314,,,,,,,,,,,,,,,,,,,,,,
12,0.996,,,,,,,,,,,,,,,,,,,,,,,,-0.030879569333046676,0.46675254702568053,0.8961055159568787,0.0,,,,,,,,,,,,,,,,,,
13,1.058,2.0962179770645806,2.161926047775242,0.1,1.512589724855112,2.1079070559770825,0.27741643030082025,0.1846179177731685,0.02815695166045172,3.2253331923363426e-05,4.114342337918396e-05,5.583057555901804e-06,2.4687693682785143,2.519842644349191,2.920045444088522,3.3416021559939453,0.49548806488513947,0.17551818009465933,1.0000000064447523,0.01580930291982812,-0.0041349432781399385,-1.0039657354354859e-10,0.1,0.04192435954129161,,,,,,,,,,,,,,,,,,,,,,
